,Date,MainFailure,AssemblyFailure,FailureDescr,TimeLost
73,2022-02-23 21:48:53,Ogolne_Linia,dodatkowa przerwa,przerwa operatora st.70,20
74,2022-02-24 06:41:09,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
75,2022-02-24 07:22:46,Awaria,stacja 20 - praska,zawieszenie korpusu na trzpieniu,10
76,2022-02-24 07:42:11,Ogolne_Linia,rework motoru,znalezienie zgubionego numeru serijnego motoru i puszczenie reworkiem,5
77,2022-02-24 07:43:35,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
78,2022-02-24 08:19:52,Awaria,stacja 20 - praska,zawieszenie motoru na trzpieniu,10
79,2022-02-24 08:33:44,Awaria,stacja 60 - KUKA,zawieszenie robota,30
80,2022-02-24 09:01:38,Przegląd_Serwis,praca technologa,Mikos P.,10
81,2022-02-24 10:55:29,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
82,2022-02-24 11:36:13,Awaria,stacja 10 - załadunek paletki,blędnyj pomiar cardana 11184906,2
83,2022-02-24 11:14:33,Awaria,stacja 20 - praska,zawieszenie,5
84,2022-02-24 11:15:24,Ogolne_Linia,dokładanie komponentów,uzupełnienie płyt,2
85,2022-02-24 12:20:35,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
86,2022-02-24 12:42:36,Awaria,stacja 60 - KUKA,zawieszenie robota,5
87,2022-02-24 13:44:26,Ogolne_Linia,dokładanie komponentów,"uzupełnienie płyt, oringów",3
88,2022-02-24 13:56:52,Ogolne_Linia,dokładanie komponentów,"sruby,dreny,podkładki",5
89,2022-02-24 13:57:32,Ogolne_Linia,,sprzątanie linii,5
90,2022-02-24 14:52:26,Awaria,,awaria st.41,7
91,2022-02-24 16:49:16,Przegląd_Serwis,wymiana filtra,wymina filtra HQ 020,10
92,2022-02-24 17:01:47,Przegląd_Serwis,wymiana filtra,wymina filtra HQ 020,10
93,2022-02-24 17:36:33,Awaria,stacja 60 - KUKA,zawieszenie KUKI od god.17-30,10
94,2022-02-24 18:03:58,,,przerwa od god.17-40 do 18-00,20
95,2022-02-24 18:02:36,Oczekwianie,,"oczekiwanie na DUR,awaria st.60 ,zawieszenie KUKI",60
96,2022-02-24 19:01:23,Awaria,stacja 60 - KUKA,naprawa KUKI,45
97,2022-02-24 21:31:34,Ogolne_Linia,rework motoru,"pomelony kod walka,dużo reworku",25
98,2022-02-25 06:13:07,Awaria,stacja 60 - cell 2,czyszczenie błedów i stacij hydraulicznych,10
99,2022-02-25 06:20:43,Awaria,stacja 55 - winda,brak statusów w motorach,10
100,2022-02-25 06:45:00,Ogolne_Linia,rework motoru,2 motory do rework,5
101,2022-02-25 07:26:37,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
102,2022-02-25 09:33:45,Ogolne_Linia,dokładanie komponentów,"uzupełnienie śrub, płyt",3
103,2022-02-25 10:38:42,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
104,2022-02-25 11:15:01,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
105,2022-02-25 12:00:32,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,2
106,2022-02-25 13:32:49,Awaria,stacja 41 - dokręcanie śrub,zawieszenie na śrubie 3 i 7 OMRx250,10
107,2022-02-25 15:03:35,Szkolenie_Spotkanie,szkolenie,,35
108,2022-02-25 16:23:12,Awaria,stacja 60 - cell 1,AWARIA st.60 ŚTÓŁ OBROTOWY NIE OBRACA SIĘ NA CELLE 1 nie można zrobić czyszczenie przez *cleaning error*,30
109,2022-02-25 16:47:45,Awaria,stacja 60 - cell 1,AWARIA st.60 ŚTÓŁ OBROTOWY NIE OBRACA SIĘ NA CELLE 1 nie można zrobić czyszczenie przez *cleaning error*,20
110,2022-02-25 18:26:13,Awaria,stacja 60 - cell 1,AWARIA st.60 ŚTÓŁ OBROTOWY NIE OBRACA SIĘ NA CELLE 1 nie można zrobić czyszczenie przez *cleaning error*,60
111,2022-02-25 20:17:07,Ogolne_Linia,rework motoru,,30
112,2022-02-28 06:29:25,Ogolne_Linia,zapełnianie linii,zapełnianie linii,20
113,2022-02-28 09:48:45,Awaria,stacja 41 - dokręcanie śrub,"problem z docręceniem śrub  NUMER 1,7, OMR200",3
114,2022-02-28 09:48:56,Awaria,stacja 41 - dokręcanie śrub,"problem z docręceniem śrub  NUMER 1,7, OMR200",3
115,2022-02-28 13:53:19,Awaria,stacja 20 - praska,zawieszenie,10
116,2022-02-28 14:01:42,Jakość,,puszanie testerow,4
117,2022-02-28 14:04:57,Ogolne_Linia,,wymiana filtrow HG003,24
118,2022-02-28 19:14:09,Ogolne_Linia,dokładanie komponentów,dokladanie srub,4
119,2022-02-28 19:39:40,Oczekwianie,brakujący komponent,oczekiwanie na material,4
120,2022-02-28 19:40:01,Awaria,stacja 41 - dokręcanie śrub,caly czas zawiesza st 41,4 godziny
121,2022-02-28 19:40:43,Ogolne_Linia,rework motoru,2 reworki,4
122,2022-02-28 19:44:44,Oczekwianie,brakujący komponent,"pomeliony ger sety, oczekiwanie na material",6
123,2022-02-28 20:28:17,Ogolne_Linia,dokładanie komponentów,dokladanie plit,3
124,2022-02-28 21:20:48,Awaria,stacja 60 - cell 1,motor z adapterami w stancji,
125,2022-02-28 22:15:46,Awaria,stacja 60 - KUKA,"po interwencji DUR na poprzedniej zmianie,praca robota została spowolniona",5
126,2022-02-28 22:17:30,Awaria,stacja 10 - załadunek paletki,błędny pomiar cardana 11184832,2
127,2022-02-28 23:43:17,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
128,2022-03-01 00:48:09,Ogolne_Linia,dokładanie komponentów,"uzupełnienie śrub, płyt",2
129,2022-03-01 04:06:15,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
130,2022-03-01 05:08:41,Ogolne_Linia,dokładanie komponentów,uzupełnienie płyt,3
131,2022-03-01 05:09:08,Awaria,stacja 10 - załadunek paletki,błędny pomiar cardana 11184811,5
132,2022-03-01 05:50:15,Ogolne_Linia,dokładanie komponentów,"uzupełnienie śrub, płyt, oringów",3
133,2022-03-01 08:41:42,Awaria,stacja 20 - praska,nie dziala test vizijny,20
134,2022-03-01 09:02:40,Awaria,stacja 20 - praska,"problem z testem vizijnum,oczekiwanie na tehnologa",20
135,2022-03-01 10:07:43,Przegląd_Serwis,stacja 20 - praska,praca tehnologa,20
136,2022-03-01 15:07:16,Awaria,stacja 41 - dokręcanie śrub,caly czas zawesza st 41!!!!,7 GODZIN  
137,2022-03-01 15:13:53,Awaria,stacja 41 - dokręcanie śrub,szrubokret nie mog zakrenczyc dren i zaczal jego zabiac ,5
138,2022-03-01 15:34:05,Ogolne_Linia,dokładanie komponentów,dokladanie szrub,3
139,2022-03-01 15:38:30,Ogolne_Linia,dokładanie komponentów,dokladanie plyt,4
140,2022-03-01 15:53:35,Ogolne_Linia,dokładanie komponentów,dokladanie oringow,4
141,2022-03-01 16:05:27,Ogolne_Linia,dokładanie komponentów,dokladanie szrub,3
142,2022-03-01 16:08:06,Awaria,stacja 41 - dokręcanie śrub,kazda sztuka zawiesza i na drenie i na szrubie,7 GODZIN  
143,2022-03-01 16:42:43,Ogolne_Linia,dokładanie komponentów,dokladanie szrub,3
144,2022-03-01 17:19:24,Awaria,stacja 41 - dokręcanie śrub,"zawiezenie szrubokreta , restart glownego komputera",7
145,2022-03-01 17:22:40,Awaria,stacja 41 - dokręcanie śrub,caly czas zawiesza st 41 nawet z innymi ger setami,7 GODZIN  
146,2022-03-01 17:27:43,Awaria,stacja 41 - dokręcanie śrub,"DROGIE NASZE TECHNOLODZY PROSZE ZRUBCIE CIS ZE ST 41, TO JEST NE MOZLIWE CALY CZAS ..KAZDOM SZTUKE ROBIC MANUAL RESET AUTO",7 GODZIN  
147,2022-03-01 18:34:07,Ogolne_Linia,dokładanie komponentów,dokladanie szrub,3
148,2022-03-01 18:53:54,Awaria,stacja 41 - dokręcanie śrub,"od 18 do 18.53 byl spokuj ,ale znow zaczalo zawieszac",7
149,2022-03-01 19:14:03,Awaria,stacja 41 - dokręcanie śrub,na 1 motorie zawoeza po 2 srubie ,7GODZIN
150,2022-03-01 19:15:20,Awaria,stacja 41 - dokręcanie śrub,PSZEZ  TO ZE ZAWIESZA ST 41 JEDEM MOTOR MOZE ZAKRENCAC PO 3 MIN I WIENCEJ,7GODZIN
151,2022-03-01 19:23:59,Awaria,stacja 41 - dokręcanie śrub,dokladanie szrub,3
152,2022-03-01 20:16:39,Awaria,stacja 41 - dokręcanie śrub,na st 41 nie dokrenczylo 1 szrube i motor pojechal na st napraw,1
153,2022-03-01 20:40:15,Ogolne_Linia,dokładanie komponentów,dokladanie plyt,4
154,2022-03-01 21:04:27,Awaria,stacja 41 - dokręcanie śrub,"PRZEZ CALE 7 GODZIN ZAWIESZALA SIE ST 41, NA JEDNYM MOTORIE PO 2 I 3 RAZY, STARALISCZE ZROBIC HOCZABY NORME GODZINOWOM",7GODZIN
155,2022-03-01 21:08:30,Ogolne_Linia,dodatkowa przerwa,"Wszystka zmiana zostaje na nadgodziny , mamy dodatkowom przerwe",20
156,2022-03-01 21:27:09,Ogolne_Linia,dokładanie komponentów,"zapelnenie linii , dokladanie komponentow, szprontanie",13
157,2022-03-01 22:49:56,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
158,2022-03-01 23:20:59,Awaria,stacja 60 - cell 2,"uszkodzony adapter, praca na 1 cell",10
159,2022-03-01 23:45:07,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
160,2022-03-02 00:09:02,Awaria,stacja 41 - dokręcanie śrub,zawieszenie na śrubie 4 i 7 OMPx200,5
161,2022-03-02 00:22:44,Ogolne_Linia,dokładanie komponentów,"uzupełnienie śrub, płyt",2
162,2022-03-02 01:00:14,Awaria,stacja 41 - dokręcanie śrub,"zawieszenie na śrubie 1, 4, 7 OMPx160",5
163,2022-03-02 01:06:13,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
164,2022-03-02 01:16:48,Awaria,stacja 20 - praska,zablokowany korpus na trzpieniu,5
165,2022-03-02 02:17:45,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
166,2022-03-02 04:50:09,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
167,2022-03-02 05:42:57,Ogolne_Linia,dokładanie komponentów,"uzupełnienie śrub, płyt, oringów",5
168,2022-03-02 07:34:41,Awaria,stacja 41 - dokręcanie śrub,problem z dokręcaniem śrub OMP 160,3
169,2022-03-02 09:01:52,Przegląd_Serwis,praca technologa,kalibracja st.41,20
170,2022-03-02 15:50:25,Oczekiwanie,,oczekiwanie na material od 14 do 15. 45,1godzina 45min
171,2022-03-02 15:51:18,Przegląd_Serwis,wymiana filtra,HG020,25
172,2022-03-02 16:10:14,Ogolne_Linia,,nagrzewanie stancii gidraulicznom,5
173,2022-03-02 16:11:15,Ogolne_Linia,,nie zmieniaja sie godziny pracy w jedox ,
174,2022-03-02 16:41:08,Awaria,stacja 41 - dokręcanie śrub,Zawueazenie szrobokreta na st 41,2
175,2022-03-02 17:16:23,Awaria,stacja 41 - dokręcanie śrub,caly czas zawiesza st 41,
176,2022-03-02 18:48:18,Ogolne_Linia,dokładanie komponentów,dokladanie szrub,3
177,2022-03-02 18:59:38,Awaria,stacja 41 - dokręcanie śrub,"godzinu po przerwie st 41 pracowala normalnie, od 19 znow zaczalo zawieszac",
178,2022-03-02 19:20:41,Awaria,stacja 41 - dokręcanie śrub,"zawieszenie st 41 , nie do konca zakrenca dren i krenczy na jednym miejscu",1 godzine
179,2022-03-02 22:16:22,Awaria,stacja 60 - cell 2,zablokowany motor w cell 1,10.
180,2022-03-02 22:44:37,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
181,2022-03-02 23:05:36,Awaria,stacja 41 - dokręcanie śrub,zawieszenie na śrubie 3 i 7 OMRx315,5
182,2022-03-02 23:20:34,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
183,2022-03-02 23:34:47,Awaria,stacja 60 - cell 2,"awaria drzwi,oczekiwanie na DUR",30
184,2022-03-03 00:42:17,Przegląd_Serwis,stacja 60 - cell 2,oczekiwanie i interwencja DUR,50
185,2022-03-03 01:26:33,Ogolne_Linia,dokładanie komponentów,"uzupełnienie śrub, płyt",2
186,2022-03-03 02:58:25,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
187,2022-03-03 04:00:18,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
188,2022-03-03 04:23:48,Przegląd_Serwis,wymiana papieru w drukarce, wymiana i kalibracja wydruku  etykiet,15
189,2022-03-03 05:47:12,Ogolne_Linia,dokładanie komponentów,"uzupełnienie śrub, płyt, oringów",5
190,2022-03-03 06:31:15,Awaria,stacja 20 - praska,"awaria st.20,oczekiwanie na DUR",30
191,2022-03-03 07:11:58,Awaria,stacja 20 - praska,"awaria st.20,naprawa przez DUR",60
192,2022-03-03 08:06:03,,,,
193,2022-03-03 10:06:53,Przegląd_Serwis,interwencja DUR,praca tehnologa oraz DUR  do god.14,240
194,2022-03-03 13:56:43,Ogolne_Linia,,nagrzewaniie stanji,5
195,2022-03-03 14:07:19,Przegląd_Serwis,praca technologa,,50
196,2022-03-03 15:43:25,Awaria,stacja 41 - dokręcanie śrub,caly czas zawiesza st 41,
197,2022-03-03 15:54:31,Ogolne_Linia,dokładanie komponentów,dokladanie srub,3
198,2022-03-03 16:40:28,Oczekwianie,brakujący komponent,"brak szrub, scionganie z linii ipusczanie nowego przewodnika",7
199,2022-03-03 17:13:44,Ogolne_Linia,dokładanie komponentów,dokladanie srub,3
200,2022-03-03 18:10:06,Przegląd_Serwis,wymiana filtra,HG003,30
201,2022-03-03 19:51:39,Awaria,stacja 60 - cell 1,"nie krenczy walek , wybia blond",
202,2022-03-03 20:38:19,Jakość,duży odpad,"nie testuje , wybia blond ... Scionganie z linii , pusczanie nowego przewodnika",
203,2022-03-03 21:12:03,Ogolne_Linia,zapełnianie linii,zapelnenie linii po awarii,
204,2022-03-03 21:26:05,Awaria,stacja 60 - cell 2,"nie testuje ,wybia blond",
205,2022-03-03 21:33:33,Ogolne_Linia,dodatkowa przerwa,wszystka zmiana zostaje na nadgodzinny,
206,2022-03-03 22:05:14,Awaria,stacja 60 - cell 2,"uszkodzony adapter do walka 11183554 od drugiej zmiany, oczekiwanie na DUR, praca na 1 cell",15
207,2022-03-03 23:31:35,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
208,2022-03-04 00:00:34,Awaria,stacja 55 - winda,,5
209,2022-03-04 00:34:26,Ogolne_Linia,dokładanie komponentów,"uzupełnienie śrub, płyt",3
210,2022-03-04 00:59:19,Ogolne_Linia,rework motoru,"17 reworkow OMP x 200 z drugiej zmiany (problem z gear set 151-1185, co spowodowało awarie dzisiaj na drugiej zmiane i 01.03.22 na 3 zmianie) od 23:00 do 00:00",5
211,2022-03-04 03:07:53,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
212,2022-03-04 04:30:09,Awaria,stacja 60 - cell 1,zabłokowany motor w stacji.Czyszczenie błędów,5
213,2022-03-04 05:18:50,Ogolne_Linia,dokładanie komponentów,"uzupełnianie płyt, śrub, oringów,dreny",3
214,2022-03-04 05:36:26,Przegląd_Serwis,wymiana papieru w drukarce,wymiana kalki,10
215,2022-03-04 08:01:19,Ogolne_Linia,rework motoru,,8
216,2022-03-04 10:18:26,Awaria,stacja 41 - dokręcanie śrub,zawieszenie wkrentaka  7-8god ,60
217,2022-03-04 10:19:52,Awaria,stacja 40 - montaż śrub,winda,40
218,2022-03-04 12:17:51,Awaria,stacja 60 - cell 1,motor zostal w cell 2. Error log.,6
219,2022-03-04 13:01:21,Ogolne_Linia,zapełnianie linii,test zab ,20
220,2022-03-04 13:24:57,Ogolne_Linia,zapełnianie linii,żaby,30
221,2022-03-04 14:01:12,Jakość,,pusczanie testera,5
222,2022-03-04 16:33:25,Ogolne_Linia,dokładanie komponentów,dokladanie srub,3
223,2022-03-04 16:48:20,Awaria,stacja 20 - praska,"zawisla stancja , nie biewzre motory",40
224,2022-03-04 18:53:17,Awaria,stacja 41 - dokręcanie śrub,zawieszenie st 41,2
225,2022-03-04 18:53:47,Ogolne_Linia,dokładanie komponentów,dokladanie plyt,3
226,2022-03-04 19:05:06,Awaria,stacja 41 - dokręcanie śrub,caly czas zawiesza st 41,
227,2022-03-04 20:16:20,Ogolne_Linia,dokładanie komponentów,dokladanie szrub,2
228,2022-03-04 22:38:54,Oczekiwanie,,brakujący komponent śruby 681x0181,5
229,2022-03-04 23:18:55,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
230,2022-03-05 00:08:17,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,2
231,2022-03-05 00:12:53,Awaria,stacja 41 - dokręcanie śrub,"zawieszenie na śrubie 4 i 7 OMPx160, na śrubie 3 i 7  OMRx160",2
232,2022-03-05 01:26:00,Ogolne_Linia,dokładanie komponentów,"uzupełnienie śrub, płyt",3
233,2022-03-05 02:33:33,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
234,2022-03-05 02:48:09,Awaria,stacja 41 - dokręcanie śrub,zawieszenie na śrubie 3 i 7 OMRx315,2
235,2022-03-05 03:02:41,Awaria,stacja 60 - cell 1,zabłokowany motor w stacji.Czyszczenie błędów,5
236,2022-03-05 03:19:05,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
237,2022-03-05 03:22:59,Awaria,stacja 60 - cell 2,zabłokowany motor w stacji.Czyszczenie błędów,5
238,2022-03-05 04:02:58,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
239,2022-03-05 04:09:34,Awaria,stacja 41 - dokręcanie śrub,zawieszenie na śrubie 3 i 7 OMRx315,5
240,2022-03-05 05:13:21,Awaria,stacja 20 - praska,zawieszenie motora,3
241,2022-03-05 05:33:30,Jakość,wadliwy komponent,pokrywa z zerwanym gwintem zawieszenie na st.41,5
242,2022-03-05 05:37:51,Ogolne_Linia,dokładanie komponentów,"uzupełnienie śrub, płyt, oringów, drenów",5
243,2022-03-07 06:01:37,Ogolne_Linia,,wlonczenie linii,7
244,2022-03-07 06:04:40,Jakość,,pusczenie testera,4
245,2022-03-07 06:14:54,Ogolne_Linia,,zablokowane paletki,5
246,2022-03-07 07:17:53,Awaria,stacja 41 - dokręcanie śrub,caly czas zawiesza st41,
247,2022-03-07 07:45:40,Ogolne_Linia,dokładanie komponentów,dokladanie plit,2
248,2022-03-07 07:55:53,Oczekwianie,brakujący komponent,oczekiwanie na szruby,7
249,2022-03-07 08:17:59,Awaria,stacja 41 - dokręcanie śrub,zawieszenie st 41 na drenie,10
250,2022-03-07 08:24:18,Ogolne_Linia,dokładanie komponentów,dokladanie plyt,3
251,2022-03-07 09:16:49,Ogolne_Linia,dokładanie komponentów,dokladanie szrub,2
252,2022-03-07 09:29:02,Szkolenie_Spotkanie,trening operatora,brak 1 operatora,40
253,2022-03-07 10:20:08,Ogolne_Linia,zapełnianie linii,przeszbroenie ,5
254,2022-03-07 10:27:26,Ogolne_Linia,,oczekiwanie na wymiane filtrow,10
255,2022-03-07 11:39:28,Ogolne_Linia,dokładanie komponentów,dokladanie srub,2
256,2022-03-07 11:51:44,Ogolne_Linia,dokładanie komponentów,dokladanie plyt,3
257,2022-03-07 12:17:13,Awaria,stacja 20 - praska,caly czas zawiesza st20,
258,2022-03-07 12:30:31,Ogolne_Linia,dokładanie komponentów,dokladanie srub,2
259,2022-03-07 13:37:41,Ogolne_Linia,zapełnianie linii,zawiszanie st.20,5
260,2022-03-07 13:38:08,Ogolne_Linia,dodatkowa przerwa,nadgodyny ,20
261,2022-03-07 14:37:22,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
262,2022-03-07 16:00:23,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,2
263,2022-03-07 16:06:17,Przegląd_Serwis,wymiana filtra,filtr HQ003,20
264,2022-03-07 17:01:19,Ogolne_Linia,dokładanie komponentów,"uzupełnienie śrub, płyt",2
